CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
8000,56,Female,136912,Social Media,Awareness,6497.870068417766,0.04391851073538301,0.08803141207288108,0,2.399016527783845,7.3968025807960585,19,6,9,4,688,IsConfid,ToolConfid,1
8001,69,Male,41760,Email,Retention,3898.6686056807257,0.15572507105533434,0.18272468252179005,42,2.9171377546565185,5.352548601242156,5,2,7,2,3459,IsConfid,ToolConfid,1
8002,46,Female,88456,PPC,Awareness,1546.4295957990923,0.2774903687332632,0.07642272007698936,2,8.223619097965173,13.794901465536537,0,11,2,8,2337,IsConfid,ToolConfid,1
8003,32,Female,44085,PPC,Conversion,539.5259357793692,0.1376112536017239,0.08800418668960523,47,4.540938973132648,14.688362621260511,89,2,2,0,2463,IsConfid,ToolConfid,1
8004,60,Female,83964,PPC,Conversion,1678.0435726570656,0.25285110656388093,0.1099401031792947,0,2.046847118073755,13.993370402628965,6,6,6,8,4345,IsConfid,ToolConfid,1
8005,25,Female,42925,Social Media,Awareness,9579.388246784005,0.1537946791446816,0.1613161264701013,6,2.1258497188974825,7.75283124173589,95,5,8,0,3316,IsConfid,ToolConfid,1
8006,38,Female,25615,Referral,Awareness,7302.8998515526,0.04097538640126857,0.06097682027915247,42,1.753994644846414,10.698671609738582,54,14,3,6,930,IsConfid,ToolConfid,1
8007,56,Female,57083,Social Media,Conversion,5324.283667249509,0.05287792855725713,0.1889459248608511,48,2.6260147804299696,2.9878173820459533,96,9,3,0,2983,IsConfid,ToolConfid,1
8008,36,Female,140788,Email,Retention,9421.250950540458,0.023535968314372116,0.11258501141709225,13,5.472842819871711,14.287420579067643,73,4,8,5,460,IsConfid,ToolConfid,1
8009,40,Male,130764,Social Media,Awareness,6229.193333047879,0.06664127476691371,0.16978567962313776,22,1.1356646981040013,4.613311983530028,14,8,4,8,3789,IsConfid,ToolConfid,1
8010,28,Male,88319,PPC,Retention,7283.887363978606,0.2691480889624259,0.10986751185664356,47,2.0541807216449692,3.294720457220691,94,16,5,6,1987,IsConfid,ToolConfid,1
8011,28,Male,29605,SEO,Awareness,2898.2530032081336,0.19855743332354445,0.15667870719060253,16,9.16410933538071,1.3722992112148078,23,18,6,5,2403,IsConfid,ToolConfid,1
8012,41,Male,131093,Email,Conversion,5930.920251533039,0.2242685111160442,0.019769942972015987,13,8.889232340428132,8.480384140532976,28,16,5,4,2946,IsConfid,ToolConfid,1
8013,53,Male,64608,SEO,Awareness,1520.4247185486186,0.19028182293406504,0.1618503715197726,8,8.497723392296296,14.252724962307651,81,8,1,2,2818,IsConfid,ToolConfid,1
8014,57,Male,148788,Email,Awareness,4104.383137457977,0.12209639472012082,0.10955229166388905,20,7.356534606290646,2.4660296351671014,70,16,8,1,3247,IsConfid,ToolConfid,1
8015,41,Female,39192,Email,Awareness,429.07921736744015,0.07288972851084045,0.09538896175545068,44,6.95369491204816,2.2520393830350898,33,0,1,1,4474,IsConfid,ToolConfid,0
8016,20,Female,23331,PPC,Conversion,2244.6180670685367,0.2784282293628509,0.0312058366562549,1,3.4796423004605357,4.452665667280358,77,7,8,8,3252,IsConfid,ToolConfid,1
8017,39,Female,71330,Social Media,Conversion,841.1994312844795,0.15930063665182623,0.15089688239261748,31,4.0149507927033445,10.148211448254632,83,18,5,2,3463,IsConfid,ToolConfid,1
8018,19,Female,117392,PPC,Conversion,3939.0103131215906,0.14951896555030242,0.03492109397578638,7,3.1222196163658817,8.44329584248851,92,8,4,6,2222,IsConfid,ToolConfid,1
8019,41,Female,69949,PPC,Consideration,8446.048129921053,0.29887018569212825,0.04654038443275869,35,9.822822688497828,1.8950009240635686,36,7,7,3,3644,IsConfid,ToolConfid,1
8020,61,Female,88382,PPC,Consideration,3841.5476528160257,0.1213396966326582,0.03402041858483318,25,6.708743067769062,6.913353501464534,41,5,1,6,1651,IsConfid,ToolConfid,1
8021,47,Female,119233,SEO,Consideration,8333.232297346969,0.2576963413187493,0.011249365465594673,36,9.69190632380631,1.470518152555739,63,14,0,5,2586,IsConfid,ToolConfid,1
8022,55,Male,57586,Email,Consideration,6599.333294530985,0.26007977749188826,0.1357636182127649,14,3.4460780379604996,12.852600439572159,94,14,6,9,1989,IsConfid,ToolConfid,1
8023,19,Female,72243,Referral,Conversion,5144.341521645195,0.0774743610037607,0.06146036850660524,33,6.5908820051354216,2.0531207988121314,18,5,5,3,1417,IsConfid,ToolConfid,1
8024,38,Female,120566,Social Media,Awareness,2445.2277632871724,0.037503510781547005,0.03839938724625224,20,7.830556785210321,7.33382552085477,22,14,3,2,1563,IsConfid,ToolConfid,1
8025,50,Female,144213,PPC,Conversion,9229.345319157108,0.2929298335576006,0.0707947716777232,22,1.8526517844505836,7.901721933466988,70,17,3,3,2227,IsConfid,ToolConfid,1
8026,29,Male,78618,Email,Consideration,636.5880075361293,0.1335100905993144,0.10482609139386867,8,7.002648583172598,8.186830947810558,5,5,5,1,129,IsConfid,ToolConfid,0
8027,39,Male,98311,Social Media,Retention,6920.2388752182715,0.010643893382956697,0.10564837896801436,39,2.52165310818842,9.33274626153203,98,17,6,1,2688,IsConfid,ToolConfid,1
8028,61,Female,27549,Referral,Retention,6250.274938812751,0.15471517181039798,0.07976724158307229,25,3.9527420104793984,10.67294510281997,92,17,1,3,68,IsConfid,ToolConfid,1
8029,42,Female,138168,Referral,Conversion,4466.311070339615,0.1895971054867606,0.10403713149787151,42,7.445377034619436,0.5631910961814526,54,18,6,2,3079,IsConfid,ToolConfid,1
8030,66,Male,72494,PPC,Awareness,2479.1774573967928,0.23506559175992991,0.09119487698104888,21,4.960582617824441,0.9482583271575142,76,19,9,4,1011,IsConfid,ToolConfid,1
8031,44,Male,107973,Referral,Consideration,4363.889774768142,0.2834532142848552,0.1663063969270523,12,9.29045667982302,9.367495241283509,38,12,6,0,911,IsConfid,ToolConfid,1
8032,59,Female,43958,Referral,Awareness,8740.449982978864,0.27539948239418427,0.01562665382332457,24,3.170819821328504,3.1410596327745486,24,10,5,6,4683,IsConfid,ToolConfid,1
8033,45,Female,109779,Social Media,Awareness,8383.984491524046,0.28263938781591186,0.17492572533137893,6,2.384030881810251,12.561754154488309,97,14,2,3,467,IsConfid,ToolConfid,1
8034,33,Male,127713,Social Media,Awareness,9419.674374772589,0.019316292995247102,0.056343898578938824,26,4.034547735123173,9.598918909699371,82,5,7,5,653,IsConfid,ToolConfid,1
8035,32,Female,127960,PPC,Consideration,3147.1527455899554,0.21641449881083563,0.14713862085688761,14,8.667309012438816,14.715810565969887,3,10,0,1,2429,IsConfid,ToolConfid,1
8036,64,Male,114520,Email,Conversion,3932.3311678518417,0.0754988092136491,0.08695752710469612,11,8.626820998058339,11.056062210688511,87,3,7,3,1066,IsConfid,ToolConfid,1
8037,68,Male,122478,PPC,Consideration,285.3889113326469,0.06439027928963965,0.06592326325590936,44,4.323750219686711,1.81535897967326,32,14,6,4,257,IsConfid,ToolConfid,1
8038,61,Female,149203,SEO,Consideration,9435.204947728082,0.2420923848937826,0.12691600086997806,32,8.28858086225458,2.979151166863559,65,15,1,5,4709,IsConfid,ToolConfid,1
8039,69,Male,141835,Referral,Conversion,3360.9619089909615,0.13096760986013514,0.15608803958398984,20,1.700094274755053,1.1749590102378389,1,13,0,0,2885,IsConfid,ToolConfid,1
8040,20,Female,57538,Email,Conversion,4101.221833176633,0.2758140219768774,0.0954879260896847,24,1.0684143982270011,11.247050051443617,13,4,7,3,1476,IsConfid,ToolConfid,1
8041,54,Female,25833,Social Media,Conversion,9087.265653329207,0.02230617633075492,0.09864523018244138,39,8.783242758213401,2.3389376321483093,49,14,3,1,3243,IsConfid,ToolConfid,1
8042,68,Female,142893,SEO,Retention,5313.32445865145,0.2426324405512773,0.0211827321058591,46,8.866645175813446,10.124628655923578,10,9,9,9,3513,IsConfid,ToolConfid,1
8043,24,Male,43386,SEO,Retention,5705.127963379232,0.04968197927195274,0.18555923631929033,21,2.290589950043227,8.553267291850656,33,5,9,0,913,IsConfid,ToolConfid,0
8044,38,Male,136981,Referral,Conversion,1844.7050976940766,0.06120738845384549,0.1709103723247892,13,3.6794290109426733,9.68281578896813,37,15,8,8,2136,IsConfid,ToolConfid,1
