,id,name,picture_url
0,1009372,J. Jonah Jameson,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/5269582835689.jpg
1,1010736,Jack Flag,http://i.annihil.us/u/prod/marvel/i/mg/6/50/4c003787cd7e1.jpg
2,1010786,Jack Murdock,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
3,1010766,Jack O' Lantern,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
4,1011251,Jack Power,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
5,1011288,Jackal,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/4c002e7012876.jpg
6,1011259,Jackpot,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
7,1010775,James Buchanan Barnes,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
8,1010777,James Howlett,http://i.annihil.us/u/prod/marvel/i/mg/3/10/4c00374780cc6.jpg
9,1011343,Jamie Braddock,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
10,1010329,Jane Foster,http://i.annihil.us/u/prod/marvel/i/mg/b/90/4ce5a22b0d5f1.jpg
11,1010878,"Janus, the Nega-Man",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
12,1009597,Jasper Sitwell,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
13,1011344,Jazinda,http://i.annihil.us/u/prod/marvel/i/mg/b/00/4c002e3dbc0b3.jpg
14,1009327,Jean Grey,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/528d3412090b4.jpg
15,1009496,Jean Grey,http://i.annihil.us/u/prod/marvel/i/mg/f/30/4bc654cf9d0ac.jpg
16,1010946,Jean Grey (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/f/b0/53176f424c100.jpg
17,1009604,Jennifer Smith,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
18,1011404,Jeryn Hogarth,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
19,1010667,Jessica Drew,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
20,1009378,Jessica Jones,http://i.annihil.us/u/prod/marvel/i/mg/d/00/5390e41260345.jpg
21,1009373,Jetstream,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
22,1009374,Jigsaw,http://i.annihil.us/u/prod/marvel/i/mg/6/30/4ce188192a0b6.jpg
23,1011105,Jimmy Woo,http://i.annihil.us/u/prod/marvel/i/mg/8/30/4c0030a8ec05b.jpg
24,1009375,Joan the Mouse,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
25,1009376,Jocasta,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/4c003eac7419a.jpg
26,1011171,John Farson,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
27,1010812,John Jameson,http://i.annihil.us/u/prod/marvel/i/mg/6/90/4c7c641e86d14.jpg
28,1009500,John Porter,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
29,1009721,John Wraith,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
30,1009196,Johnny Blaze,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c003442a3ea6.jpg
31,1009630,Johnny Storm,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
32,1009380,Joseph,http://i.annihil.us/u/prod/marvel/i/mg/1/00/5260339868b8c.jpg
33,1010938,Joshua Kane,http://i.annihil.us/u/prod/marvel/i/mg/5/70/4c003423be2c7.jpg
34,1010937,Josiah X,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
35,1011033,Joystick,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c0032437ece7.jpg
36,1009381,Jubilee,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/4e7a2148b6e59.jpg
37,1010936,Jubilee (Age of Apocalypse),http://i.annihil.us/u/prod/marvel/i/mg/4/03/53616326ca627.jpg
38,1009382,Juggernaut,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/528d340442cca.jpg
39,1010772,Jule Carpenter,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
40,1010679,Julian Keller,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
41,1011314,Junta,http://i.annihil.us/u/prod/marvel/i/mg/6/20/4c002e5a298b8.jpg
42,1010760,Justice,http://i.annihil.us/u/prod/marvel/i/mg/6/90/4c0037678b4ff.jpg
43,1011310,Justin Hammer,http://i.annihil.us/u/prod/marvel/i/mg/e/e0/4ce18ab1be1f6.jpg
